City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,East London,ZA,77.0,broken clouds,-33.0153,27.9116,Tu Casa
1,Rikitea,PF,77.47,overcast clouds,-23.1203,-134.9692,Pension Maro'i
2,Kaitangata,NZ,50.25,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
3,Busselton,AU,60.01,light rain,-33.65,115.3333,Observatory Guest House
7,Kapaa,US,59.0,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
10,Sinnamary,GF,80.17,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
11,Hithadhoo,MV,81.99,overcast clouds,-0.6,73.0833,Scoop Guest House
12,Tezu,IN,62.76,clear sky,27.9167,96.1667,Circuit House
13,Pisco,PE,73.0,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
15,Vao,NC,77.31,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
16,Ushuaia,AR,51.8,scattered clouds,-54.8,-68.3,Albatros Hotel
17,Karratha,AU,78.82,clear sky,-20.7377,116.8463,ibis Styles Karratha
19,Qesarya,IL,64.4,few clouds,32.5189,34.9046,Dan Caesarea
21,Souillac,MU,80.6,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
23,Padang,ID,77.0,few clouds,-0.9492,100.3543,Mercure Padang
28,Kamakhyanagar,IN,64.49,clear sky,20.9333,85.55,Panchu Bhai Hotel
29,Pangkalanbuun,ID,75.4,light rain,-2.6833,111.6167,Grand Kecubung Hotel
31,Airai,TL,61.0,overcast clouds,-8.9266,125.4092,Juvinal Martin
33,Ribeira Grande,PT,60.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
35,Yulara,AU,80.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
37,Puerto Del Rosario,ES,68.0,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
38,Bluff,NZ,54.27,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
